"msgid","msgstr"
"If this option is configured 'Yes', ERPNext will prevent you from creating a Purchase Invoice without creating a Purchase Receipt first. This configuration can be overridden for a particular supplier by enabling the 'Allow Purchase Invoice Creation Without Purchase Receipt' checkbox in the Supplier master.","إذا تم تكوين هذا الخيار &quot;نعم&quot; ، سيمنعك ERPNext من إنشاء فاتورة شراء دون إنشاء إيصال شراء أولاً. يمكن تجاوز هذا التكوين لمورد معين عن طريق تمكين مربع الاختيار &quot;السماح بإنشاء فاتورة الشراء بدون إيصال شراء&quot; في مدير المورد."
"If ticked, multiple materials can be used for a single Work Order. This is useful if one or more time consuming products are being manufactured.","إذا تم تحديده ، يمكن استخدام مواد متعددة لطلب عمل واحد. يكون هذا مفيدًا إذا تم تصنيع منتج أو أكثر من المنتجات التي تستغرق وقتًا طويلاً."
"If ticked, the BOM cost will be automatically updated based on Valuation Rate / Price List Rate / last purchase rate of raw materials.","إذا تم تحديدها ، فسيتم تحديث تكلفة قائمة مكونات الصنف تلقائيًا استنادًا إلى معدل التقييم / سعر قائمة الأسعار / معدل الشراء الأخير للمواد الخام."
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.","إذا كانت صلاحية نقاط الولاء غير محدودة، فاترك مدة الصلاحية فارغة أو 0."
"If yes, then this warehouse will be used to store rejected materials","إذا كانت الإجابة بنعم، فسيتم استخدام هذا المستودع لتخزين المواد المرفوضة"
"If you are maintaining stock of this Item in your Inventory, ERPNext will make a stock ledger entry for each transaction of this item.","إذا كنت تحتفظ بمخزون هذا الصنف في مخزونك، فسيقوم ERPNext بإنشاء قيد دفتر أستاذ مخزون لكل معاملة لهذا الصنف."
"If you need to reconcile particular transactions against each other, then please select accordingly. If not, all the transactions will be allocated in FIFO order.","إذا كنت بحاجة إلى تسوية معاملات معينة مقابل بعضها البعض، فيرجى التحديد وفقًا لذلك. إذا لم يكن الأمر كذلك، فسيتم تخصيص جميع المعاملات بترتيب FIFO."
"If you still want to proceed, please disable 'Skip Available Sub Assembly Items' checkbox.","إذا كنت لا تزال ترغب في المتابعة، فيرجى إلغاء تحديد مربع الاختيار 'تخطي أصناف التجميع الفرعية المتاحة'."
"If you still want to proceed, please enable {0}.","إذا كنت لا تزال ترغب في المتابعة، فيرجى تمكين {0}."
"If you {0} {1} quantities of the item {2}, the scheme {3} will be applied on the item.","إذا قمت {0} {1} بكميات العنصر {2} ، فسيتم تطبيق المخطط {3} على العنصر."
"If you {0} {1} worth item {2}, the scheme {3} will be applied on the item.","إذا كنت {0} {1} تستحق العنصر {2} ، فسيتم تطبيق النظام {3} على العنصر."
"If your CSV uses a different delimiter, add that character here, ensuring no spaces or additional characters are included.","إذا كان ملف CSV الخاص بك يستخدم محددًا مختلفًا، فأضف هذا الحرف هنا، مع التأكد من عدم تضمين أي مسافات أو أحرف إضافية."
"Ignore","تجاهل"
"Ignore Account Closing Balance","تجاهل رصيد إقفال الحساب"
"Ignore Closing Balance","تجاهل رصيد الإقفال"
"Ignore Default Payment Terms Template","تجاهل قالب شروط الدفع الافتراضي"
"Ignore Employee Time Overlap","تجاهل تداخل وقت الموظف"
"Ignore Empty Stock","تجاهل المخزون الفارغ"
"Ignore Exchange Rate Revaluation Journals","تجاهل قيود إعادة تقييم سعر الصرف"
"Ignore Existing Ordered Qty","تجاهل الكمية الموجودة المطلوبة"
"Ignore Existing Projected Quantity","تجاهل الكمية الموجودة المتوقعة"
"Ignore Is Opening check for reporting","تجاهل التحقق من ""هل هو افتتاح"" للتقارير"
"Ignore Pricing Rule","تجاهل (قاعدة التسعير)"
"Ignore Pricing Rule is enabled. Cannot apply coupon code.","تم تمكين تجاهل قاعدة التسعير. لا يمكن تطبيق رمز القسيمة."
"Ignore System Generated Credit / Debit Notes","تجاهل إشعارات الدائن / المدين التي تم إنشاؤها بواسطة النظام"
"Ignore User Time Overlap","تجاهل تداخل وقت المستخدم"
"Ignore Voucher Type filter and Select Vouchers Manually","تجاهل مرشح نوع الإيصال وحدد الإيصالات يدويًا"
"Ignore Workstation Time Overlap","تجاهل تداخل وقت محطة العمل"
"Ignores legacy Is Opening field in GL Entry that allows adding opening balance post the system is in use while generating reports","يتجاهل حقل ""هل هو افتتاح"" القديم في قيد دفتر الأستاذ العام الذي يسمح بإضافة رصيد افتتاحي بعد استخدام النظام أثناء إنشاء التقارير"
"Image","صورة"
"Image View","عرض الصورة"
"Impairment","انخفاض القيمة"
"Implementation Partner","شريك التنفيذ"
"Import","استيراد"
"Import Chart of Accounts from a csv file","استيراد دليل الحسابات من ملف csv"
"Import Data","بيانات الاستيراد"
"Import File","استيراد ملف"
"Import File Errors and Warnings","استيراد ملف الأخطاء والتحذيرات"
"Import Genericode File","استيراد ملف Genericode"
"Import Invoices","استيراد الفواتير"
"Import Log","سجل الاستيراد"
"Import Log Preview","استيراد سجل معاينة"
"Import Preview","استيراد معاينة"
"Import Progress","استيراد التقدم"
"Import Successful","استيراد ناجح"
"Import Supplier Invoice","استيراد فاتورة المورد"
"Import Type","نوع الاستيراد"
"Import Using CSV file","استيراد باستخدام ملف CSV"
"Import Warnings","استيراد تحذيرات"
"Import completed. {0} common codes created.","اكتمل الاستيراد. تم إنشاء {0} رمزًا مشتركًا."
"Import from Google Sheets","استيراد من جداول بيانات Google"
"Import in Bulk","استيراد بكميات كبيرة"
"Importing Common Codes","جارٍ استيراد الرموز المشتركة"
"Importing {0} of {1}, {2}","استيراد {0} من {1} ، {2}"
"In House","داخلي"
"In Maintenance","في الصيانة"
"In Mins","في دقائق"
"In Minutes","بالدقائق"
"In Party Currency","بعملة الطرف"
"In Percentage","في المئة"
"In Process","في عملية"
"In Production","في الانتاج"
"In Progress","في تَقَدم"
"In Qty","كمية قادمة"
"In Stock","في المخزون"
"In Stock Qty","في سوق الأسهم الكمية"
"In Transit","في مرحلة انتقالية"
"In Transit Transfer","نقل قيد العبور"
"In Transit Warehouse","مستودع قيد العبور"
"In Value","القيمة القادمة"
"In Words","في كلمات"
"In Words (Company Currency)","في الأحرف ( عملة الشركة )"
"In Words (Export) will be visible once you save the Delivery Note.","بالحروف (تصدير) سوف تكون مرئية بمجرد حفظ اشعار التسليم."
"In Words will be visible once you save the Delivery Note.","بالحروف سوف تكون مرئية بمجرد حفظ اشعارالتسليم."
"In Words will be visible once you save the Sales Invoice.","وبعبارة تكون مرئية بمجرد حفظ فاتورة المبيعات."
"In Words will be visible once you save the Sales Order.","وبعبارة تكون مرئية بمجرد حفظ ترتيب المبيعات."
"In mins","بالدقائق"
"In minutes","في دقائق"
"In row {0} of Appointment Booking Slots: ""To Time"" must be later than ""From Time"".","في الصف {0} من خانات حجز المواعيد: يجب أن يكون ""وقت الانتهاء"" بعد ""وقت البدء""."
"In stock","في المخزن"
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","في حالة البرنامج متعدد المستويات، سيتم تعيين العملاء تلقائيًا إلى المستوى المعني حسب إنفاقهم"
"In this section, you can define Company-wide transaction-related defaults for this Item. Eg. Default Warehouse, Default Price List, Supplier, etc.","في هذا القسم، يمكنك تحديد الإعدادات الافتراضية المتعلقة بالمعاملات على مستوى الشركة لهذا الصنف. مثال: المستودع الافتراضي، قائمة الأسعار الافتراضية، المورد، إلخ."
"Inactive","غير نشط"
"Inactive Customers","العملاء الغير النشطين"
"Inactive Sales Items","عناصر المبيعات غير النشطة"
"Inactive Status","الحالة غير النشطة"
"Incentives","الحوافز"
"Inch","بوصة"
"Inch Pound-Force","بوصة رطل-قوة"
"Inch/Minute","بوصة/دقيقة"
"Inch/Second","بوصة/ثانية"
"Inches Of Mercury","بوصة زئبق"
"Include Account Currency","تضمين عملة الحساب"
"Include Ageing Summary","قم بتضمين ملخص الشيخوخة"
"Include Closed Orders","تضمين الطلبات المغلقة"
"Include Default FB Assets","تضمين أصول الدفتر المالي الافتراضي"
"Include Default FB Entries","تضمين إدخالات دفتر افتراضي"
"Include Disabled","تضمين المعطل"
"Include Expired","تشمل منتهية الصلاحية"
"Include Expired Batches","تضمين الدفعات منتهية الصلاحية"
"Include Exploded Items","تشمل البنود المستبعدة"
"Include Item In Manufacturing","تشمل البند في التصنيع"
"Include Non Stock Items","تشمل الاصناف الغير مخزنية"
"Include POS Transactions","تشمل معاملات نقطه البيع"
"Include Payment","تضمين الدفع"
"Include Payment (POS)","تشمل الدفع (POS)"
"Include Reconciled Entries","تضمن القيود التي تم تسويتها"
"Include Safety Stock in Required Qty Calculation","تضمين مخزون الأمان في حساب الكمية المطلوبة"
"Include Sub-assembly Raw Materials","قم بتضمين المواد الخام التجميعية الفرعية"
"Include Subcontracted Items","تضمين العناصر من الباطن"
"Include Timesheets in Draft Status","تضمين جداول الدوام في حالة المسودة"
"Include UOM","تضمين UOM"
"Include Zero Stock Items","تضمين أصناف المخزون الصفري"
"Include in gross","تدرج في الإجمالي"
"Included in Gross Profit","المدرجة في الربح الإجمالي"
"Including items for sub assemblies","بما في ذلك السلع للمجموعات الفرعية"
"Income","الإيرادات"
"Income Account","حساب الدخل"
"Incoming","الوارد"
"Incoming Call Handling Schedule","جدول معالجة المكالمات الواردة"
"Incoming Call Settings","إعدادات المكالمات الواردة"
"Incoming Rate","معدل الواردة"
"Incoming Rate (Costing)","سعر الدخول (التكلفة)"
"Incoming call from {0}","مكالمة واردة من {0}"
"Incompatible Setting Detected","تم اكتشاف إعداد غير متوافق"
"Incorrect Balance Qty After Transaction","كمية الرصيد غير الصحيحة بعد المعاملة"
"Incorrect Batch Consumed","الدفعة المستهلكة غير صحيحة"
"Incorrect Check in (group) Warehouse for Reorder","فحص غير صحيح في مستودع (المجموعة) لإعادة الطلب"
"Incorrect Component Quantity","كمية المكون غير صحيحة"
"Incorrect Date","تاريخ غير صحيح"
"Incorrect Invoice","فاتورة غير صحيحة"
"Incorrect Movement Purpose","غرض الحركة غير صحيح"
"Incorrect Payment Type","نوع الدفع غير صحيح"
"Incorrect Reference Document (Purchase Receipt Item)","مستند مرجعي غير صحيح (صنف إيصال الشراء)"
"Incorrect Serial No Valuation","تقييم رقم تسلسلي غير صحيح"
"Incorrect Serial Number Consumed","الرقم التسلسلي المستهلك غير صحيح"
"Incorrect Serial and Batch Bundle","حزمة الرقم التسلسلي والدفعة غير صحيحة"
"Incorrect Stock Value Report","تقرير قيمة المخزون غير الصحيحة"
"Incorrect Type of Transaction","نوع المعاملة غير صحيح"
"Incorrect Warehouse","مستودع غير صحيح"
"Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.","تم العثور على عدد غير صحيح من إدخالات دفتر الأستاذ العام. ربما تكون قد حددت حسابا خاطئا في المعاملة."
"Incoterm","مصطلح التجارة الدولية"
"Increase In Asset Life (Months)","الزيادة في عمر الأصل (بالأشهر)"
"Increase In Asset Life(Months)","الزيادة في عمر الأصل (بالأشهر)"
"Increment","الزيادة"
"Increment cannot be 0","لا يمكن أن تكون الزيادة 0\
<br>\
Increment cannot be 0"
"Increment for Attribute {0} cannot be 0","الاضافة للخاصية {0} لا يمكن أن تكون 0"
"Indent","مسافة بادئة"
"Indicates that the package is a part of this delivery (Only Draft)","يشير إلى أن الحزمة هو جزء من هذا التسليم (مشروع فقط)"
"Indicator Color","لون المؤشر"
"Indirect Expense","مصروف غير مباشر"
"Indirect Expenses","نفقات غير مباشرة"
"Indirect Income","دخل غير مباشرة"
"Individual","فرد"
"Individual GL Entry cannot be cancelled.","لا يمكن إلغاء قيد دفتر الأستاذ العام الفردي."
"Individual Stock Ledger Entry cannot be cancelled.","لا يمكن إلغاء قيد دفتر أستاذ المخزون الفردي."
"Industry","صناعة"
"Industry Type","نوع صناعة"
"Initial Email Notification Sent","تم إرسال إشعار البريد الإلكتروني المبدئي"
"Initialize Summary Table","تهيئة جدول الملخص"
"Initiated","بدأت"
"Insert New Records","أدخل سجلات جديدة"
"Inspected By","تفتيش من قبل"
"Inspection Rejected","تم رفض الفحص"
"Inspection Required","التفتيش مطلوب"
"Inspection Required before Delivery","التفتيش المطلوبة قبل تسليم"
"Inspection Required before Purchase","التفتيش المطلوبة قبل الشراء"
"Inspection Submission","تقديم الفحص"
"Inspection Type","نوع التفتيش"
"Installation Date","تثبيت تاريخ"
"Installation Note","ملاحظة التثبيت"
"Installation Note Item","ملاحظة تثبيت الإغلاق"
"Installation Note {0} has already been submitted","مذكرة التسليم {0} ارسلت\
<br>\
Installation Note {0} has already been submitted"
"Installation Status","حالة التركيب"
"Installation Time","تثبيت الزمن"
"Installation date cannot be before delivery date for Item {0}","تاريخ التركيب لا يمكن أن يكون قبل تاريخ التسليم للبند {0}"
"Installed Qty","الكميات الثابتة"
"Installing presets","تثبيت الإعدادات المسبقة"
"Instruction","التعليمات"
"Instructions","تعليمات"
"Insufficient Capacity","سعة غير كافية"
"Insufficient Permissions","أذونات غير كافية"
"Insufficient Stock","المالية غير كافية"
"Insufficient Stock for Batch","مخزون غير كافٍ للدفعة"
"Insurance","التأمين"
"Insurance Company","تفاصيل التأمين"
"Insurance Details","تفاصيل التأمين"
"Insurance End Date","تاريخ انتهاء التأمين"
"Insurance Start Date","تاريخ بداية التأمين"
"Insurance Start date should be less than Insurance End date","يجب أن يكون تاريخ بداية التأمين قبل  تاريخ نهاية التأمين"
"Insured value","قيمة المؤمن"
"Insurer","شركة التأمين"
"Integration Details","تفاصيل التكامل"
"Integration ID","معرف التكامل"
"Inter Company Invoice Reference","الشركة المشتركة للفاتورة"
"Inter Company Journal Entry","الدخول المشترك بين الشركة"
"Inter Company Journal Entry Reference","انتر دخول الشركة مجلة الدخول"
"Inter Company Order Reference","مرجع طلب شركة Inter"
"Inter Company Reference","بين شركة مرجع"
"Inter Transfer Reference","مرجع التحويل الداخلي"
"Inter Warehouse Transfer Settings","إعدادات نقل المستودعات الداخلية"
"Interest","فائدة"
"Interest and/or dunning fee","الفائدة و/أو رسوم المطالبة"
"Interested","مهتم"
"Internal","داخلي"
"Internal Customer","عميل داخلي"
"Internal Customer for company {0} already exists","العميل الداخلي للشركة {0} موجود بالفعل"
"Internal Sale or Delivery Reference missing.","مرجع البيع أو التسليم الداخلي مفقود."
"Internal Sales Reference Missing","مرجع المبيعات الداخلية مفقود"
"Internal Supplier","مورد داخلي"
"Internal Supplier for company {0} already exists","المورد الداخلي للشركة {0} موجود بالفعل"
"Internal Transfer","نقل داخلي"
"Internal Transfer Reference Missing","مرجع التحويل الداخلي مفقود"
"Internal Transfers","التحويلات الداخلية"
"Internal Work History","سجل العمل الداخلي"
"Internal transfers can only be done in company's default currency","لا يمكن إجراء التحويلات الداخلية إلا بعملة الشركة الافتراضية"
"Internet Publishing","النشر عبر الإنترنت"
"Interval should be between 1 to 59 MInutes","يجب أن يكون الفاصل الزمني بين 1 و 59 دقيقة"
"Introduction","مقدمة"
"Invalid","غير صالحة"
"Invalid Account","حساب غير صالح"
"Invalid Allocated Amount","مبلغ مخصص غير صالح"
"Invalid Amount","مبلغ غير صالح"
"Invalid Attribute","خاصية غير صالحة"
"Invalid Auto Repeat Date","تاريخ التكرار التلقائي غير صالح"
"Invalid Barcode. There is no Item attached to this barcode.","الباركود غير صالح. لا يوجد عنصر مرفق بهذا الرمز الشريطي."
"Invalid Blanket Order for the selected Customer and Item","طلب فارغ غير صالح للعميل والعنصر المحدد"
"Invalid Child Procedure","إجراء الطفل غير صالح"
"Invalid Company for Inter Company Transaction.","شركة غير صالحة للمعاملات بين الشركات."
"Invalid Cost Center","مركز تكلفة غير صالح"
"Invalid Credentials","بيانات الاعتماد غير صالحة"
"Invalid Delivery Date","تاريخ تسليم غير صالح"
"Invalid Discount","خصم غير صالح"
"Invalid Document","مستند غير صالح"
"Invalid Document Type","نوع المستند غير صالح"
"Invalid Formula","صيغة غير صالحة"
"Invalid Gross Purchase Amount","مبلغ الشراء الإجمالي غير صالح"
"Invalid Group By","تجميع حسب غير صالح"
"Invalid Item","عنصر غير صالح"
"Invalid Item Defaults","إعدادات الصنف الافتراضية غير صالحة"
"Invalid Ledger Entries","قيود دفتر الأستاذ غير الصالحة"
"Invalid Opening Entry","إدخال فتح غير صالح"
"Invalid POS Invoices","فواتير نقاط البيع غير صالحة"
"Invalid Parent Account","حساب الوالد غير صالح"
"Invalid Part Number","رقم الجزء غير صالح"
"Invalid Posting Time","وقت نشر غير صالح"
"Invalid Primary Role","دور أساسي غير صالح"
"Invalid Priority","أولوية غير صالحة"
"Invalid Process Loss Configuration","تكوين خسارة العملية غير صالح"
"Invalid Purchase Invoice","فاتورة شراء غير صالحة"
"Invalid Qty","كمية غير صالحة"
"Invalid Quantity","كمية غير صحيحة"
"Invalid Return","إرجاع غير صالح"
"Invalid Sales Invoices","فواتير مبيعات غير صالحة"
"Invalid Schedule","جدول غير صالح"
"Invalid Selling Price","سعر البيع غير صالح"
"Invalid Serial and Batch Bundle","حزمة الرقم التسلسلي والدفعة غير صالحة"
"Invalid URL","URL غير صالح"
"Invalid Value","قيمة غير صالحة"
"Invalid Warehouse","مستودع غير صالح"
"Invalid amount in accounting entries of {} {} for Account {}: {}","مبلغ غير صالح في قيود المحاسبة لـ {} {} للحساب {}: {}"
"Invalid condition expression","تعبير شرط غير صالح"
"Invalid lost reason {0}, please create a new lost reason","سبب ضائع غير صالح {0} ، يرجى إنشاء سبب ضائع جديد"
"Invalid naming series (. missing) for {0}","سلسلة تسمية غير صالحة (. مفقود) لـ {0}"
"Invalid reference {0} {1}","مرجع غير صالح {0} {1}"
"Invalid result key. Response:","مفتاح نتيجة غير صالح. الاستجابة:"
"Invalid value {0} for {1} against account {2}","قيمة غير صالحة {0} لـ {1} مقابل الحساب {2}"
"Invalid {0}","غير صالح {0}"
"Invalid {0} for Inter Company Transaction.","غير صالح {0} للمعاملات بين الشركات."
"Invalid {0}: {1}","{0} غير صالح : {1}\
<br>\
Invalid {0}: {1}"
"Inventory","جرد"
"Inventory Dimension","بعد المخزون"
"Inventory Dimension Negative Stock","مخزون سالب لبعد المخزون"
"Inventory Dimension key","مفتاح بعد المخزون"
"Inventory Settings","إعدادات المخزون"
"Investment Banking","الخدمات المصرفية الاستثمارية"
"Investments","الاستثمارات"
"Invoice","فاتورة"
"Invoice Cancellation","إلغاء الفاتورة"
"Invoice Date","تاريخ الفاتورة"
"Invoice Discounting","خصم الفواتير"
"Invoice Grand Total","الفاتورة الكبرى المجموع"
"Invoice ID","معرف الفاتورة"
"Invoice Limit","حد الفاتورة"
"Invoice Number","رقم الفاتورة"
"Invoice Portion","جزء الفاتورة"
"Invoice Portion (%)","جزء الفاتورة (٪)"
"Invoice Posting Date","تاريخ ترحيل الفاتورة"
"Invoice Series","سلسلة الفاتورة"
"Invoice Status","حالة الفاتورة"
"Invoice Type","نوع الفاتورة"
"Invoice already created for all billing hours","الفاتورة التي تم إنشاؤها بالفعل لجميع ساعات الفوترة"
"Invoice and Billing","الفاتورة والفوترة"
"Invoice can't be made for zero billing hour","لا يمكن إجراء الفاتورة لمدة صفر ساعة"
"Invoiced Amount","قيمة الفواتير"
"Invoiced Qty","الكمية المفوترة"
"Invoices","الفواتير"
"Invoices and Payments have been Fetched and Allocated","تم جلب الفواتير والمدفوعات وتخصيصها"
"Invoicing","الفوترة"
"Invoicing Features","ميزات الفوترة"
"Inward","نحو الداخل"
"Is Account Payable","هل هو حساب دائن"
"Is Active","نشط"
"Is Additional Item","هل هو صنف إضافي"
"Is Adjustment Entry","هل هو قيد تسوية"
"Is Advance","هل مقدم"
"Is Alternative","هل هو بديل"
"Is Billable","هو قابل للفوترة"
"Is Billing Contact","هل هو جهة اتصال فوترة"
"Is Cancelled","هل ملغي"
"Is Cash or Non Trade Discount","هل هو خصم نقدي أو غير تجاري"
"Is Company","هي الشركة"
"Is Company Account","هو حساب الشركة"
"Is Composite Asset","هل هو أصل مركب"
"Is Composite Component","هل هو مكون مركب"
"Is Consolidated","موحّدة"
"Is Container","حاوية"
"Is Corrective Job Card","هل هي بطاقة عمل تصحيحية"
"Is Corrective Operation","هل هي عملية تصحيحية"
"Is Cumulative","هو التراكمي"
"Is Customer Provided Item","هل العميل يقدم الصنف"
"Is Default","افتراضي"
"Is Default Account","هو الحساب الافتراضي"
"Is Default Language","هي اللغة الافتراضية"
"Is Delivery Note Required for Sales Invoice Creation?","هل مطلوب مذكرة التسليم لإنشاء فاتورة المبيعات؟"
"Is Discounted","هو مخفضة"
"Is Exchange Gain / Loss?","هل هو مكسب / خسارة صرف؟"
"Is Existing Asset","هل أصل موجود"
"Is Expandable","هل هو قابل للتوسيع"
"Is Final Finished Good","هل هو منتج نهائي نهائي"
"Is Finished Item","هل هو صنف نهائي"
"Is Fixed Asset","هو الأصول الثابتة"
"Is Free Item","هو البند الحرة"
"Is Frozen","مجمدة"
"Is Fully Depreciated","هل هو مهلك بالكامل"
"Is Group","هل مجموعة"
"Is Group Warehouse","هل هو مستودع مجموعة"
"Is Internal Customer","هو عميل داخلي"
"Is Internal Supplier","هو المورد الداخلي"
"Is Mandatory","إلزامي"
"Is Milestone","هو معلم"
"Is Old Subcontracting Flow","هل هو تدفق تعاقد من الباطن قديم"
"Is Opening","هل قيد افتتاحي"
"Is Opening Entry","تم افتتاح الدخول"
"Is Outward","هل هو صادر"
"Is Paid","مدفوع"
"Is Paused","هل هو متوقف مؤقتًا"
"Is Period Closing Voucher Entry","هل هو إدخال إيصال إقفال الفترة"
"Is Purchase Order Required for Purchase Invoice & Receipt Creation?","هل طلب الشراء مطلوب لإنشاء فاتورة الشراء والإيصال؟"
"Is Purchase Receipt Required for Purchase Invoice Creation?","هل إيصال الشراء مطلوب لإنشاء فاتورة الشراء؟"
"Is Rate Adjustment Entry (Debit Note)","هل هو إدخال تعديل السعر (إشعار مدين)"
"Is Recursive","هل هو متكرر"
"Is Rejected","هل هو مرفوض"
"Is Rejected Warehouse","هل هو مستودع مرفوض"
"Is Return","مرتجع؟"
"Is Return (Credit Note)","هو العودة (ملاحظة الائتمان)"
"Is Return (Debit Note)","هو العودة (ملاحظة الخصم)"
"Is Sales Order Required for Sales Invoice & Delivery Note Creation?","هل طلب المبيعات مطلوب لإنشاء فاتورة المبيعات ومذكرة التسليم؟"
"Is Scrap Item","هل هو صنف خردة"
"Is Short/Long Year","هل هي سنة قصيرة/طويلة"
"Is Standard","هو معيار"
"Is Stock Item","هل هو صنف مخزون"
"Is Subcontracted","وتعاقد من الباطن"
"Is System Generated","هل تم إنشاؤه بواسطة النظام"
"Is Tax Withholding Account","هل هو حساب اقتطاع الضريبة"
"Is Template","هل هو قالب"
"Is Transporter","هو الناقل"
"Is Your Company Address","هل هو عنوان شركتك"
"Is a Subscription","هو الاشتراك"
"Is created using POS","هل تم إنشاؤه باستخدام نقاط البيع"
"Is this Tax included in Basic Rate?","هل هذه الضريبة متضمنة في الاسعار الأساسية؟"
"Issue","المشكلات"
"Issue Analytics","تحليلات المشكلات"
"Issue Credit Note","إصدار إشعار الائتمان"
"Issue Date","تاريخ القضية"
"Issue Material","قضية المواد"
"Issue Priority","أولوية الإصدار"
"Issue Split From","قضية الانقسام من"
"Issue Summary","ملخص المشكلات"
"Issue Type","نوع القضية"
"Issue a debit note with 0 qty against an existing Sales Invoice","إصدار إشعار مدين بكمية 0 مقابل فاتورة مبيعات موجودة"
"Issued","نشر"
"Issued Items Against Work Order","البنود الصادرة ضد طلب العمل"
"Issues","قضايا"
"Issuing Date","تاريخ الإصدار"
"Issuing cannot be done to a location. Please enter employee to issue the Asset {0} to","لا يمكن إصدار الأصل إلى موقع. يرجى إدخال الموظف لإصدار الأصل {0} له"
"It can take upto few hours for accurate stock values to be visible after merging items.","قد يستغرق ظهور قيم المخزون الدقيقة بضع ساعات بعد دمج الأصناف."
"It is needed to fetch Item Details.","هناك حاجة لجلب تفاصيل البند."
"It's not possible to distribute charges equally when total amount is zero, please set 'Distribute Charges Based On' as 'Quantity'","لا يمكن توزيع الرسوم بالتساوي عندما يكون المبلغ الإجمالي صفرًا، يرجى تعيين 'توزيع الرسوم بناءً على' كـ 'كمية'"
"Item","السلعة"
"Item 1","صنف رقم 1"
"Item 2","صنف رقم 2"
"Item 3","صنف رقم 3"
"Item 4","صنف رقم 4"
"Item 5","صنف رقم 5"
"Item Alternative","الصنف البديل"
"Item Attribute","موصفات الصنف"
"Item Attribute Value","قيمة مواصفة الصنف"
"Item Attribute Values","قيم سمة العنصر"
"Item Balance (Simple)","البند الرصيد (بسيط)"
"Item Barcode","باركود الصنف"
"Item Cart","سلة الأصناف"
"Item Code","رمز السلعة"
"Item Code (Final Product)","رمز الصنف (المنتج النهائي)"
"Item Code cannot be changed for Serial No.","لا يمكن تغيير رمز السلعة للرقم التسلسلي"
"Item Code required at Row No {0}","رمز العنصر المطلوب في الصف رقم {0}\
<br>\
Item Code required at Row No {0}"
"Item Code: {0} is not available under warehouse {1}.","رمز العنصر: {0} غير متوفر ضمن المستودع {1}."
"Item Customer Detail","تفاصيل العميل لهذا البند"
"Item Default","البند الافتراضي"
"Item Defaults","البند الافتراضي"
"Item Description","وصف الصنف"
"Item Details","بيانات الصنف"
"Item Group","مجموعة الصنف"
"Item Group Defaults","افتراضيات مجموعة العناصر"
"Item Group Name","اسم مجموعة السلعة"
"Item Group Tree","شجرة فئات البنود"
"Item Group not mentioned in item master for item {0}","فئة البند غير مذكورة في ماستر البند لهذا البند {0}"
"Item Group wise Discount","الخصم حسب مجموعة الأصناف"
"Item Groups","مجموعات السلعة"
"Item Image (if not slideshow)","صورة البند (إن لم يكن عرض شرائح)"
"Item Information","معلومات الصنف"
"Item Locations","مواقع البند"
"Item Manager","مدير الصنف"
"Item Manufacturer","مادة المصنع"
"Item Name","اسم السلعة"
"Item Naming By","تسمية السلعة بواسطة"
"Item Price","سعر الصنف"
"Item Price Settings","إعدادات سعر الصنف"
"Item Price Stock","سعر صنف المخزون"
"Item Price added for {0} in Price List {1}","تم اضافتة سعر الصنف لـ {0} في قائمة الأسعار {1}"
"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, Batch, UOM, Qty, and Dates.","يظهر سعر الصنف عدة مرات بناءً على قائمة الأسعار، المورد/العميل، العملة، الصنف، الدفعة، وحدة القياس، الكمية، والتواريخ."
"Item Price updated for {0} in Price List {1}","سعر الصنف محدث ل{0} في قائمة الأسعار {1}"
"Item Prices","أسعار الصنف"
"Item Quality Inspection Parameter","معلمة تفتيش جودة الصنف"
"Item Reference","مرجع الصنف"
"Item Reorder","البند إعادة ترتيب"
"Item Row {0}: {1} {2} does not exist in above '{1}' table","صنف الصف {0}: {1} {2} غير موجود في جدول &#39;{1}&#39; أعلاه"
"Item Serial No","الرقم التسلسلي للصنف"
"Item Shortage Report","تقرير نقص الصنف"
"Item Supplier","مورد الصنف"
"Item Tax","ضريبة الصنف"
"Item Tax Amount Included in Value","البند ضريبة المبلغ المدرجة في القيمة"
"Item Tax Rate","معدل ضريبة الصنف"
"Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable","ضريبة البند يجب أن يكون الصف {0} حسابا من نوع الضريبة أو الدخل أو المصاريف أو الرسوم\
<br>\
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable"
"Item Tax Template","قالب الضريبة البند"
"Item Tax Template Detail","البند قالب الضريبة التفاصيل"
"Item To Manufacture","الصنف لتصنيع"
"Item UOM","وحدة قياس الصنف"
"Item Unavailable","العنصر غير متوفر"
"Item Variant","متغير الصنف"
"Item Variant Attribute","وصف متغير الصنف"
"Item Variant Details","الصنف تفاصيل متغير"
"Item Variant Settings","إعدادات متنوع السلعة"
"Item Variant {0} already exists with same attributes","متغير الصنف {0} موجود بالفعل مع نفس الخصائص"
"Item Variants updated","تم تحديث متغيرات العنصر"
"Item Warehouse based reposting has been enabled.","تم تمكين إعادة الترحيل القائمة على مستودع الصنف."
